H	"DOMINION ENERGY QUESTAR PIPELINE, LLC"	C001088	4/2/2018	O	4/1/2018	T	T	ERIC LARSON 801-324-2047				
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FSS	2455	4/1/2000	4/30/2021		N		1863750	
P	SB	CLAY BASIN RESERVOIR	95	184			15531					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	T-1	4304	12/1/2009	11/30/2021		N	51300		
P	M2	CHIPETA PROCESSING (REC)	95	421		51300						
P	MQ	KERN RIVER - GOSHEN	95	336		51300						
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FSS	4196	5/1/2009	3/31/2020		N		536250	
P	SB	CLAY BASIN RESERVOIR	95	184			4469					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	T-1	3447	8/1/2005	7/31/2021		N	10000		
P	M2	CHIPETA PROCESSING (REC)	95	421		10000						
P	MQ	ROBERSON THRU KANDA	95	388		10000						
D	ATMOS ENERGY CORP.	108203241	N	T-1	4453	4/1/2011	3/31/2021		Y	5900		
A	"CONCORD ENERGY, LLC"	N										
P	MQ	NORTHERN NAT 139 DEL	95	804		5900						
P	M2	WHITE RIVER HUB (R)	95	409		5900						
D	ATMOS ENERGY CORP.	108203241	N	FSS	5852	4/1/2018	3/31/2025		N		1000000	
P	SB	CLAY BASIN RESERVOIR	95	184			8333					
D	"AVAD OPERATING, LLC"		N	T-1	5760	8/1/2017	11/30/2021		N	24700		
A	BP ENERGY COMPANY	N										
P	M2	CHIPETA PROCESSING (REC)	95	421		2944						
P	M2	CO2 PLT OUTLET	95	302		5299						
P	M2	HAYES WASH TAP	95	341		4938						
P	M2	HELPER FEDERAL	95	242		10906						
P	MQ	KERN RIVER - GOSHEN	95	336		24700						
P	M2	WHITMORE PARK	95	204		613						
D	BERRY PETROLEUM COMPANY	151321411	N	T-1 SSXP	3726	11/1/2007	10/31/2022		N	5000		
A	"MERCATOR ENERGY, LLC"	N										
P	M2	CHIPETA PROCESSING (REC)	95	421		5000						
P	MQ	KERN RIVER - GOSHEN	95	336		5000						
D	BERRY PETROLEUM COMPANY	151321411	N	T-1	4895	2/7/2013	10/31/2022		N	10359		
A	"MERCATOR ENERGY, LLC"	N										
P	M2	BRUNDAGE MTN TAP	95	144		10359						
P	MQ	CHIPETA PROCESSING (DEL)	95	821		10359						
D	BERRY PETROLEUM COMPANY	151321411	N	T-1	4896	2/7/2013	2/6/2021		Y	5359		
A	"MERCATOR ENERGY, LLC"	N										
P	M2	CHIPETA PROCESSING (REC)	95	421		5359						
P	MQ	QGC WASATCH FRONT	95	164		5359						
D	BERRY PETROLEUM COMPANY	151321411	N	T-1	5032	9/10/2013	9/9/2023		N	14000		
A	"MERCATOR ENERGY, LLC"	N										
P	M2	BRUNDAGE MTN TAP	95	144		14000						
P	MQ	CHIPETA PROCESSING (DEL)	95	821		14000						
D	"BIOURJA TRADING, LLC"	787045892	N	FSS	5558	5/1/2016	5/31/2018		N		1000000	
A	"CONCORD ENERGY, LLC"	N										
P	SB	CLAY BASIN RESERVOIR	95	184			8333					
D	BP ENERGY COMPANY	625275755	N	T-1	3994	4/1/2008	12/31/2038		N	5500		
P	M2	CHIPETA PROCESSING (REC)	95	421		1879						
P	M2	DRIPPING ROCK	95	386		132						
P	M2	HELPER FEDERAL	95	242		2834						
P	M2	PINE CANYON M&R	95	323		459						
P	MQ	QGC WASATCH FRONT	95	164		5500						
P	M2	WHITMORE PARK	95	204		196						
D	BP ENERGY COMPANY	625275755	N	T-1	3996	4/1/2008	12/31/2033		N	3254		
P	M2	CHIPETA PROCESSING (REC)	95	421		3254						
P	MQ	QGC WASATCH FRONT	95	164		3254						
D	BP ENERGY COMPANY	625275755	N	T-1 SSXP	3734	11/1/2007	10/31/2022		Y	30000		
P	M2	CHIPETA PROCESSING (REC)	95	421		3812						
P	M2	HAYES WASH TAP	95	341		14106						
P	M2	HELPER FEDERAL	95	242		7384						
P	MQ	KERN RIVER - GOSHEN	95	336		23278						
P	MQ	NEBO TAP	95	355		6722						
P	M2	RED WASH - FIDLAR	95	370		4698						
D	BP ENERGY COMPANY	625275755	N	FSS	5853	4/1/2018	3/31/2024		N		65000	
P	SB	CLAY BASIN RESERVOIR	95	184			542					
D	BP ENERGY COMPANY	625275755	N	T-1	3995	4/1/2008	12/31/2033		N	1246		
P	MQ	QGC WASATCH FRONT	95	164		1246						
P	M2	QPC GREASEWOOD REC	95	313		1246						
D	CHEVRON U.S.A. INC.	9140559	N	T-1	4996	7/1/2013	6/30/2014	31	N	700		
P	M2	EXXON (COLUMBIA-QPC)	95	84		700						
P	MQ	ROBERSON CREEK	95	176		700						
D	"CIMA ENERGY, LP"	945601599	N	FSS	5719	5/1/2017	4/30/2020		N		192000	
P	SB	CLAY BASIN RESERVOIR	95	184			1600					
D	CITADEL ENERGY MARKETING LLC	79663087	N	FSS	5553	5/1/2016	3/31/2019		N		2000000	
P	SB	CLAY BASIN RESERVOIR	95	184			16667					
D	CITY OF ELLENSBURG	60041985	N	FSS	931	8/15/1991	4/30/2021		N		127800	
A	MERCURIA COMMODITIES CANADA CORPORATION	N										
