H	"Pine Prairie Energy Center, LLC"	C001058	4/2/2018	O	4/1/2018		T	Sam Leuschen 713-652-3689					
D	Anadarko Energy Services Company	19-911-6823	N	FSS	AES01640S	4/1/2017	3/31/2021		Y		2000000		
P	M2	ANR Pipeline Company (SE)	95	766185			16667						
P	M2	Columbia Gulf Transmission Company	95	4205			16667						
P	M2	Tennessee Gas Pipeline Company (zon 	95	421043	 		16666						
P	MQ	Columbia Gulf Transmission Company	95	4205			32000						
P	MQ	Florida Gas Transmission Company (Z	95	78456			10000						
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			33000						
P	MQ	Transcontinental Gas Pipe Line Corp	95	9003442			15000						
P	MQ	"Texas Gas Transmission, LLC (SL)"	95	9115			10000						
D	"Cleco Power, LLC"	03-955-8619	N	FSS	CLP01311S	6/1/2014	5/31/2019		Y		1800000		
P	M2	Columbia Gulf Transmission Company	95	4205			50000						
P	MQ	Columbia Gulf Transmission Company	95	4205			80000						
D	"Cleco Power, LLC"	03-955-8619	N	FSS	CLP01312S	6/1/2014	5/31/2019		Y		200000	X1	
D	"Cleco Power, LLC"	03-955-8619	N	NNSS	CLP01312NNS	6/1/2014	5/31/2019		Y			X1	
D	"EDF Trading North America, LLC"	13-038-5763	N	FSS	EDF01571S	4/1/2016	3/31/2019		Y		3000000		
P	M2	Columbia Gulf Transmission Company	95	4205			70000						
P	M2	"Texas Eastern Transmission, LP (WLA"	95	75524			30000						
P	MQ	Transcontinental Gas Pipe Line Corp	95	9003442			150000						
D	MC Global Gas Corporation	07-868-9899	N	FSS	MCG01591S	4/1/2018	3/31/2023		Y		2000000		
P	M2	"Texas Eastern Transmission, LP (WLA"	95	75524			10000						
P	M2	Tennessee Gas Pipeline Company (zon 	95	421043			40000						
P	MQ	"Texas Eastern Transmission, LP (WLA"	95	75524			20000						
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			80000			 			     
D	J. Aron & Company	00-698-0312	N	FSS	JAR01619S	4/1/2018	3/31/2021		Y		13000000		
P	M2	ANR Pipeline Company (ML2)	95	490941			40000						
P	M2	ANR Pipeline Company (SE)	95	766185			40000						
P	M2	Columbia Gulf Transmission Company	95	4205			205000						
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			40000						
P	MQ	KM LA Pipeline	95	44404			50000						
P	MQ	"Texas Eastern Transmission, LP (WLA"	95	75524			100000						
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			250000						
P	MQ	Transcontinental Gas Pipe Line Corp	95	9003442			200000						
P	MQ	"Texas Gas Transmission, LLC (SL)"	95	9115			50000						
D	"Sabine Pass Liquefaction, LLC"	07-873-1670	N	FSS	SPL01557S	4/1/2018	3/31/2028		Y		8000000		
P	M2	"Texas Eastern Transmission, LP (WLA"	95	75524			120000						
P	M2	Transcontinental Gas Pipe Line Corp	95	9003442			360000						
P	M2	"Texas Gas Transmission, LLC (SL)"	95	9115			120000						
P	MQ	Transcontinental Gas Pipe Line Corp	95	9003442			200000						
D	"Sequent Energy Management, L.P."	61-207-5846	N	FSS	SEM01648S	4/1/2017	3/31/2020		Y		2000000		
P	M2	Columbia Gulf Transmission Company	95	4205			25000						
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			25000						
P	MQ	Transcontinental Gas Pipe Line Corp	95	9003442			100000						
D	"Tenaska Gas Storage, LLC"	00-430-3603	N	FSS	TGS01988S	4/1/2018	3/31/2019		Y		2000000		
P	M2	Columbia Gulf Transmission Company	95	4205			25000						
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			25000						
P	MQ	Acadia-Entergy	95	6565656			20000						
P	MQ	Columbia Gulf Transmission Company	95	4205			50000			     			
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			50000						
D	"Tenaska Gas Storage, LLC"	00-430-3603	N	NNSS	TGS02032NNS	4/1/2018	3/31/2019		Y			X2	
D	"Tennessee Gas Pipeline Company, LLC"	00-193-9164	N	FSS	TEN01698S	4/1/2017	3/31/2027		Y		2000000		
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			50000						
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			100000						
D	Tennessee Valley Authority	96-753-7572	N	FSS	TVA01434S	4/1/2015	3/31/2020		Y		1500000		
P	M2	"Texas Gas Transmission, LLC (SL)"	95	9115			60000						
P	MQ	"Texas Gas Transmission, LLC (SL)"	95	9115			120000						
D	Tennessee Valley Authority	96-753-7572	N	NNSS	TVA01435NNS	4/1/2015	3/31/2020		Y				
P	M2	"Texas Gas Transmission, LLC (SL)"	95	9115			60000						
P	MQ	"Texas Gas Transmission, LLC (SL)"	95	9115			120000						
D	Tennessee Valley Authority	96-753-7572	N	FSS	TVA01634S	4/1/2017	3/31/2027		Y		1500000		
P	M2	ANR Pipeline Company (ML2)	95	490941			40000						
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			20000						
P	MQ	ANR Pipeline Company (ML2)	95	490940			45000						
P	MQ	Columbia Gulf Transmission Company	95	4205			5000						
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			50000						
P	MQ	"Texas Gas Transmission, LLC (SL)"	95	9115			20000						
D	Tennessee Valley Authority	96-753-7572	N	FSS	TVA02045S	4/1/2018	3/31/2025		Y		1500000		
P	M2	"Texas Gas Transmission, LLC (SL)"	95	9115			60000						
P	MQ	"Texas Gas Transmission, LLC (SL)"	95	9115			120000						
D	"TOTAL GAS & POWER NORTH AMERICA, INC."	62-005-9980	N	FSS	TGP00088S	4/1/2009	3/31/2020		Y		2000000		
P	M2	"Texas Gas Transmission, LLC (SL)"	95	9115			50000						
P	M2	"Texas Eastern Transmission, LP (WLA"	95	75524			50000						
P	MQ	ANR Pipeline Company (SE)	95	766184			13333						
P	MQ	Columbia Gulf Transmission Company	95	4205			26668						
P	MQ	"Texas Gas Transmission, LLC (SL)"	95	9115			13333						
P	MQ	Transcontinental Gas Pipe Line Corp	95	9003442			20000						
P	MQ	"Texas Eastern Transmission, LP (WLA"	95	75524			13333						
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			13333						
D	Uniper Global Commodities North America LLC	07-909-3350	N	FSS	UNI01989S	4/1/2018	3/31/2019		Y		2000000		
P	M2	Columbia Gulf Transmission Company	95	4205			25000						
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			25000						
P	MQ	Columbia Gulf Transmission Company	95	4205			50000						     
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			50000						
D	Castleton Commodities Merchant Trading L.P.	11-863-8852	N	FL	CCM02028L	2/2/2018	9/30/2018		Y		75000		
P	M2	Columbia Gulf Transmission Company	95	4205			2500						
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			2500						
P	M2	PPEC Hub	95	22222			2500						
P	M2	"Texas Gas Transmission, LLC (SL)"	95	9115			2500						
P	M2	"Texas Eastern Transmission, LP (WLA"	95	75524			2500						
P	MQ	PPEC Hub	95	22222			75000						
P	MQ	Transcontinental Gas Pipe Line Corp	95	9003442			75000						
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			75000						
D	Castleton Commodities Merchant Trading L.P.	11-863-8852	N	FL	CCM02031L	2/3/2018	9/30/2018		Y		1000000		
P	M2	Columbia Gulf Transmission Company	95	4205			33500						
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			33500						
P	M2	PPEC Hub	95	22222			33500						
P	M2	"Texas Gas Transmission, LLC (SL)"	95	9115			33500						
P	M2	"Texas Eastern Transmission, LP (WLA"	95	75524			33500						
P	MQ	PPEC Hub	95	22222			38500						
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			38500						
D	"Exelon Generation Company, LLC"	19-674-8938	N	FL	EGC02029L	2/2/2018	9/30/2018		Y		75000		
P	M2	Columbia Gulf Transmission Company	95	4205			2500						
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			2500						
P	M2	PPEC Hub	95	22222			2500						
P	M2	"Texas Gas Transmission, LLC (SL)"	95	9115			2500						
P	M2	"Texas Eastern Transmission, LP (WLA"	95	75524			2500						
P	MQ	Columbia Gulf Transmission Company	95	4205			75000						
P	MQ	PPEC Hub	95	22222			75000						
P	MQ	Transcontinental Gas Pipe Line Corp	95	9003442			75000						
D	"Exelon Generation Company, LLC"	19-674-8938	N	FL	EGC02033L	2/3/2018	9/30/2018		Y		500000		
P	M2	Columbia Gulf Transmission Company	95	4205			16700						
P	M2	Tennessee Gas Pipeline Company (zon	95	421043			16700						
P	M2	PPEC Hub	95	22222			16700						
P	M2	"Texas Gas Transmission, LLC (SL)"	95	9115			16700						
P	M2	"Texas Eastern Transmission, LP (WLA"	95	75524			16700						
P	MQ	PPEC Hub	95	22222			19250						
P	MQ	Transcontinental Gas Pipe Line Corp	95	9003442			19250						
P	MQ	"Texas Eastern Transmission, LP (WLA"	95	75524			19250						
P	MQ	Tennessee Gas Pipeline Company (zon	95	421043			19250						
D	"Hartree Partners, LP"	01-595-6162	N	FL	HAR02030L	2/2/2018	9/30/2018		Y		75000		
P	M2	PPEC Hub	95	22222			2500						
P	MQ	ANR Pipeline Company (ML2)	95	490940			75000						
