H	"EL PASO NATURAL GAS COMPANY, L.L.C."	C000967	4/2/2018	O	4/1/2018	T		Sherry Saunders 719-520-3711				
D	AGAVE ENERGY COMPANY	938237294	N	FT-1	FT3G5000-FT1EPNG	1/1/2016	12/31/2018		N	45000	0	n1
P	M2	AGAVE/EPNG (ICRAWFRD) CRAWFORD REC	95	334853	NEW MEXICO - PERMIAN	30000	0					
P	M2	AGAVE/EPNG (IROJOGRN) ROJO GRANDE R	95	334862	NEW MEXICO - PERMIAN	15000	0					
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	45000	0					
D	ANADARKO ENERGY SERVICES COMPANY	199116823	N	FT-1	FT3GQ000-FT1EPNG	8/1/2016	7/31/2021		Y	50000	0	n1
P	M2	DBMPL/EPNG (IRAMSEYN) RAMSEY NORTH	95	48164	NEW MEXICO - PERMIAN	50000	0					
P	MQ	EPNG/EPNG (KEYTRAN) KEYSTONE TRANSF	95	302136	TEXAS - PERMIAN BASI	50000	0					
D	APACHE CORPORATION	6961551	N	FT-1	FT2YD000-FT1EPNG	5/1/2010	4/30/2019		N	10	0	n1
P	M2	DCP OPER/EPNG (IMOBILCO) COYANOSA P	95	314287	TEXAS - PERMIAN BASI	10	0					
P	MQ	ZIA/EPNG (DJAL JAL) JAL GAS LEA	95	300910	NEW MEXICO - PERMIAN	10	0					
D	APACHE CORPORATION	6961551	N	FT-1	FT3J7000-FT1EPNG	6/1/2017	5/31/2020		N	40816	0	n1
P	M2	ALPINE/EPNG (IPELSPRI) PELICAN SPRI	95	49444	TEXAS - PERMIAN BASI	40816	0					
P	MQ	ATMOS-TX/EPNG (ILONEWA) LONESTAR WA	95	301621	TEXAS - PERMIAN BASI	40816	0					
D	"ARIZONA ELECTRIC POWER COOPERATIVE, INC."	68397876	N	FT-1	FT3EH000-FT1EPNG	4/1/2015	10/31/2024		Y	6111	0	n1
A	"ACES POWER MARKETING, LLC"	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	3008	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	684	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	322	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	2097	0					
P	MQ	AZELCPWR/EPNG (DAEPCWIL) WILLCOX CO	95	300754	ARIZONA - NO BASIN	6111	0					
D	"ARIZONA ELECTRIC POWER COOPERATIVE, INC."	68397876	N	FT-1	FT3EJ000-FT1EPNG	4/1/2015	10/31/2024		Y	7646	0	n1
A	"ACES POWER MARKETING, LLC"	N										
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	1301	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	294	0					
P	M2	(KEYSTONE) KEYSTONE POOL	95	302132	TEXAS - PERMIAN BASI	5139	0					
P	M2	(WAHA) WAHA POOL	95	302404	TEXAS - PERMIAN BASI	912	0					
P	MQ	AZELCPWR/EPNG (DAEPCWIL) WILLCOX CO	95	300754	ARIZONA - NO BASIN	7646	0					
D	ARIZONA PUBLIC SERVICE COMPANY	6901995	N	FT-1	FT39D000-FT1EPNG	6/1/2013	12/31/2019		Y	64308	0	n1
P	M2	(BLANCO) BLANCO POOL	95	300714	NEW MEXICO - SAN JUA	3170	0					
P	M2	(BONDADST) BONDAD STATION	95	300724	NEW MEXICO - SAN JUA	6038	0					
